guid	Item_No	Term	Category	title	Skill_Level	Instructor	Day	Age_Group	Time	ClassDate	Weeks	Model_Fee	Lab_Fee	Price	body	
3000	4.16	2	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	12:30 - 3:30 PM	10/30 - 12/11	7		45	305	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3001	4.16	1A	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	12:30 - 3:30 PM	09/11 -  9/25	3		25	135	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3002	4.16	1B	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	12:30 - 3:30 PM	10/2 - 10/23	4		30	185	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3003	4.17	2	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	6:30 - 9:00 PM	10/30 - 12/11	7		40	260	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3004	4.17	1A	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	6:30 - 9:00 PM	09/11 -  9/25	3		17	115	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3005	4.17	1B	Ceramics	Pottery & Clay Sculpture	OPEN	Stephen Futej	Thursday	Adults	6:30 - 9:00 PM	10/2 - 10/23	4		23	155	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3006	4.62	2	Ceramics	Pottery & Clay Sculpture	OPEN		Saturday	Adults	10:00 AM - 12:30 PM	11/1 - 12/13	7		40	260	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3007	4.62	1A	Ceramics	Pottery & Clay Sculpture	OPEN		Saturday	Adults	10:00 AM - 12:30 PM	9/13 - 9/27	3		17	115	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3008	4.62	1B	Ceramics	Pottery & Clay Sculpture	OPEN		Saturday	Adults	10:00 AM - 12:30 PM	10/4 - 10/18	3		17	115	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
3009	4.63	1A	Ceramics	Pottery & Clay Sculpture	OPEN		Tuesday	Adults	6:30 - 9:00 PM	9/9 - 9/23	3		17	115	Learn the fundamentals of pottery and clay sculpture. Students learn hand-building techniques such as slab, coil and carving and the use of the pottery wheel to create decorative and functional objects such as bowls, platters, plates and cups. Students also may create sculptural and figurative pieces using these techniques. Explore surface design using glazes, underglazes, sgraffito and slips to enrich the forms.	
